iter	Passed	Remaining
0	148	148177
1	153	76446
2	156	51964
3	159	39650
4	162	32265
5	165	27345
6	170	24197
7	172	21394
8	174	19213
9	176	17461
10	177	15985
11	179	14762
12	181	13815
13	183	12921
14	184	12126
15	185	11428
16	186	10811
17	188	10264
18	189	9770
19	190	9321
20	191	8915
21	192	8544
22	193	8207
23	194	7895
24	195	7608
25	196	7365
26	197	7121
27	198	6889
28	199	6671
29	200	6470
30	200	6281
31	201	6102
32	202	5932
33	203	5771
34	203	5621
35	204	5478
36	205	5344
37	206	5217
38	206	5096
39	207	4980
40	208	4870
41	208	4764
42	209	4662
43	210	4567
44	212	4514
45	213	4426
46	214	4340
47	214	4257
48	215	4177
49	215	4100
50	216	4027
51	216	3955
52	217	3887
53	218	3821
54	218	3758
55	219	3698
56	219	3639
57	220	3582
58	221	3526
59	221	3473
60	222	3420
61	222	3370
62	223	3321
63	223	3274
64	224	3229
65	225	3184
66	225	3144
67	226	3108
68	227	3068
69	228	3029
70	228	2990
71	229	2953
72	229	2917
73	230	2881
74	230	2847
75	231	2813
76	231	2780
77	232	2748
78	233	2717
79	233	2687
80	234	2657
81	234	2628
82	235	2597
83	235	2570
84	236	2543
85	236	2517
86	237	2491
87	237	2466
88	238	2441
89	239	2417
90	239	2393
91	241	2385
92	242	2366
93	243	2344
94	243	2323
95	244	2301
96	245	2280
97	245	2260
98	246	2239
99	246	2219
100	247	2200
101	247	2181
102	248	2162
103	248	2144
104	249	2126
105	250	2108
106	250	2091
107	251	2074
108	251	2058
109	252	2041
110	252	2025
111	253	2009
112	254	1994
113	254	1978
114	259	1993
115	259	1979
116	260	1964
117	260	1950
118	261	1936
119	262	1923
120	262	1909
121	263	1895
122	263	1881
123	264	1868
124	265	1855
125	265	1843
126	266	1829
127	266	1817
128	267	1805
129	268	1793
130	268	1782
131	269	1770
132	269	1758
133	270	1750
134	271	1741
135	272	1731
136	273	1720
137	273	1709
138	274	1698
139	274	1687
140	275	1677
141	275	1665
142	276	1655
143	276	1645
144	277	1635
145	277	1626
146	278	1616
147	279	1606
148	279	1597
149	280	1588
150	280	1579
151	281	1570
152	281	1561
153	282	1552
154	283	1543
155	283	1534
156	284	1526
157	284	1517
158	286	1513
159	286	1505
160	287	1496
161	287	1488
162	288	1480
163	288	1472
164	289	1464
165	290	1457
166	290	1449
167	291	1441
168	291	1434
169	292	1426
170	292	1419
171	293	1412
172	293	1405
173	294	1398
174	295	1391
175	295	1384
176	296	1377
177	296	1370
178	297	1363
179	297	1357
180	298	1350
181	299	1344
182	299	1337
183	302	1342
184	303	1336
185	303	1329
186	304	1323
187	304	1317
188	305	1311
189	306	1305
190	306	1299
191	307	1293
192	307	1287
193	308	1281
194	308	1275
195	309	1269
196	310	1263
197	310	1258
198	311	1252
199	311	1246
200	312	1241
201	312	1235
202	313	1230
203	313	1225
204	314	1219
205	315	1214
206	315	1210
207	316	1205
208	317	1200
209	317	1195
210	318	1190
211	318	1185
212	319	1181
213	320	1176
214	321	1172
215	321	1168
216	322	1164
217	323	1159
218	323	1155
219	324	1150
220	325	1146
221	325	1141
222	326	1137
223	326	1132
224	327	1128
225	328	1123
226	328	1119
227	329	1114
228	329	1110
229	332	1113
230	333	1109
231	333	1105
232	334	1101
233	335	1096
234	335	1092
235	336	1088
236	336	1084
237	337	1079
238	337	1075
239	338	1071
240	338	1067
241	339	1063
242	340	1059
243	340	1055
244	341	1051
245	341	1047
246	342	1043
247	342	1039
248	343	1035
249	343	1031
250	344	1027
251	345	1024
252	345	1021
253	346	1018
254	347	1014
255	347	1010
256	348	1007
257	348	1003
258	349	999
259	350	996
260	350	992
261	351	989
262	351	985
263	352	982
264	352	978
265	353	975
266	353	971
267	354	968
268	355	964
269	355	961
270	356	958
271	356	954
272	357	951
273	357	948
274	358	944
275	358	941
276	359	938
277	361	939
278	362	936
279	363	933
280	363	930
281	364	927
282	364	924
283	365	920
284	365	917
285	366	914
286	366	911
287	367	908
288	368	905
289	368	902
290	369	899
291	369	896
292	370	893
293	370	890
294	371	887
295	372	884
296	372	881
297	373	878
298	373	876
299	374	873
300	374	870
301	375	868
302	376	866
303	377	864
304	377	861
305	378	858
306	379	855
307	379	852
308	380	850
309	380	847
310	381	844
311	381	842
312	382	839
313	382	836
314	383	834
315	384	831
316	384	828
317	385	826
318	385	823
319	386	820
320	386	818
321	387	815
322	387	813
323	388	810
324	389	808
325	389	805
326	390	803
327	391	801
328	391	799
329	392	796
330	392	794
331	393	791
332	394	789
333	394	786
334	395	784
335	395	782
336	396	779
337	396	777
338	397	774
339	397	772
340	398	770
341	399	767
342	399	765
343	400	763
344	400	760
345	401	758
346	401	756
347	402	753
348	402	751
349	403	749
350	403	746
351	404	744
352	406	745
353	407	743
354	408	741
355	408	739
356	409	736
357	409	734
358	410	732
359	410	730
360	411	728
361	412	726
362	412	724
363	413	722
364	413	719
365	414	717
366	414	715
367	415	713
368	416	711
369	416	709
370	417	707
371	417	705
372	418	703
373	418	701
374	419	699
375	422	701
376	423	699
377	423	697
378	424	695
379	425	693
380	425	691
381	426	689
382	426	687
383	427	685
384	427	683
385	428	681
386	429	679
387	429	677
388	430	675
389	430	673
390	431	671
391	431	669
392	432	667
393	432	665
394	433	664
395	434	662
396	435	660
397	436	659
398	436	657
399	437	655
400	437	653
401	438	652
402	438	650
403	439	648
404	440	646
405	440	644
406	441	642
407	441	640
408	442	638
409	442	637
410	443	635
411	444	633
412	444	631
413	445	630
414	445	628
415	446	626
416	446	624
417	447	623
418	448	621
419	448	619
420	449	617
421	453	621
422	454	619
423	455	618
424	455	616
425	456	614
426	456	612
427	457	611
428	457	609
429	458	607
